panoid	id	title	lat	lng	pitch	heading
eHUr_ZUBVW0_s6uMAodBnA	bokusenji-temple	Bokusenji Temple	34.947887	135.767124	-5.11	-173.99
u27bUXalUcJDnkC9yQFCNQ	kenroku-en-garden	Kenroku-en Garden	35.641245	138.802944	-14.59	15.92
_6dEiCBW7F7BUxUCC0zGfA	kanda-myojin-shrine	Kanda Myojin Shrine	35.701569	139.767558	-13.16	20.1
YKMKfHEh72JCuzt6DA3wpw	shinjuku-gyoen	Shinjuku Gyoen	35.686019	139.711589	3.84	59.1
HXRcLrFEE0hwBegmdEKGFA	mishima-taisha-shrine	Mishima Taisha Shrine	35.121534	138.918979	-17.5	343.84
41SfjmFdbaLW0g7eU2CgiA	gongendo-tsutsumi	Gongendo Tsutsumi	36.090574	139.72525	-6.67	309.34
ND7q2hZdGhBCqpTGlj9hsQ	saiko-doman-green-park-1	Meguro Riverside	35.64718	139.696714	-20.89	151.12
3mwsbH_sDHLC5nwc_pkrGQ	jiunji-temple	Jiunji Temple	35.71817	138.756186	-18.18	37.98
rK9unbD92isUjFIdeS2OUw	mibudera-temple	Mibudera Temple	35.001713	135.743913	-3.98	357.93
3dk7YL_UWAkbbzDZs-p3Zw	asahi-river-cherry-road-1	Asahi River Cherry Road	34.664856	133.939294	-15.33	33.7
Us5ISAE96jpXEPVG_Z7X0w	ryoanji-temple	Ryoanji Temple	35.032997	135.719183	2.63	27.04
5zh48M6UJ3inEHynk7D50g	seikei-park	Seikei Park	33.257095	130.089161	-6.69	75.43
i4A1CHnF5eajAXhpwz_Wtw	nijo-castle-1	Nijo Castle	35.01487	135.749659	-16.74	254.18
B8GJLI9ODZIAAAQW-bh3CA	isshingyo-no-ohsakura	Isshingyo no ohsakura	32.835804	131.05066	-12.18	-214.45
9gYg0dspTtuBc6rcDS1Uqw	koganei-park-1	Koganei Park	35.714569	139.512519	0.18	358.78
Lylw7KNkYe70tcbfZZ6S6Q	osaka-prefecture-university-habikino-campus	Osaka Prefecture University Habikino Campus	34.550358	135.59105	-0.29	236.13
buuDdDbiqw5OtiGICMmU_A	miharu-takizakura	Miharu Takizakura	37.407633	140.50039	-18.99	-93.37
W1LJISSaC75hNLx0grSpRA	maple-corridor-2	Maple Corridor	35.524069	138.763949	-21.14	164.09
x4zl-r1CobOxasxBI05WNQ	otakayama-shrine	Otakayama Shrine	38.038594	140.700487	-15.95	257.57
HG6ZHzDGAukiM7sxtr6UuA	oharano-shrine	Oharano Shrine	34.959653	135.656318	2.19	106.42
GiIJRvjJJg4ddxVF5Z5r-w	ninnaji-temple	Ninnaji Temple	35.030074	135.713622	-4.42	93.24
qOpcVnn666VnGEw5OqMWXw	nicchu-railway-line-memorial-cycling-pedestrians-road	Nicchu Railway Line Memorial Cycling Pedestrians Road	37.654851	139.866111	-15.72	195.96
WLTvPoPib-4d2KXVdqZgxQ	kamigamo-shrine	Kamigamo Shrine	35.058482	135.752438	-6.53	26.94
t3wZUFsBwcme_GHSehPA7w	takamatsu-lake	Takamatsu Lake	39.721464	141.144404	-7.28	76.32
JWT1dfOg8n1Fmhl_J36QIA	tsuruga-castle-park	Tsuruga Castle Park	37.487864	139.928824	-15.13	98.19
Nzsi5HZK9z7_i1PwMb4oig	jissoji-temple	Jissoji-Temple	35.78056	138.367122	-14.6	24.68
S6ZzM-ivYoiTLtyfs4zhvg	moerenuma-park	Moerenuma Park	43.125275	141.433832	-18.3	87.18
OoKB_eROF4bAUN4Ns64mgQ	mt-iwadono-maruyama-park	Mt. Iwadono Maruyama Park	35.619114	138.949227	-41.26	2.77
u5P6eFThr1e0SfJnG_zVvQ	senshu-park	Senshu Park	39.721591	140.123939	-13.67	34.19
gGRi3-Qa9UtWbdi5ScYC0Q	hama-rikyu-gardens-1	Hama-rikyu Gardens	35.66084	139.762311	-2.65	-106.48
stj3ERHYiG0vnk43FSScbw	expo-85-memorial-park	Expo '85 Memorial Park	36.062392	140.070834	3.57	107.61
do-oD48pVCYAAAGu4iUSSA	myojo-sakura	Myojo Sakura	33.275332	129.832466	-64.57	-46.76
hqrXfXSp74WM59LPavEmuw	tatsuminomori-kaihin-park	Tatsuminomori Kaihin Park	35.650175	139.815892	0.85	-110.63
GDofwA8Nou5cEIbmfVelLg	osaka-castle-park-2	Osaka Castle Park	34.686888	135.52444	-15.55	57.18
S9DOSQ6Z8Lwnk828fjhprg	zojoji-temple-with-tokyo-tower	Zojoji Temple with Tokyo Tower	35.658059	139.748607	-28.04	-94.01
qvVaU2n2CMluKMqM113wfA	hata-no-shidarezakura	Hata no Shidarezakura	34.885016	136.001796	-4.87	60.08
Pol1FDwAz2SWJzBvU1Vz0w	matsumae-park	Matsumae Park	41.430594	140.109129	-0.02	251.71
ytFB-jETUTIaqUGyBn5ZXw	shoboji-temple	Shoboji Temple	34.956864	135.655957	-3.61	-127.02
9jtVzxYpYpN19Yiy_wXRbw	hatobuki-park-1	Hatobuki Park	35.843135	137.894423	-15.36	52.76
TJ8qMd3BIhsaIMA67k0WVw	kuse-cherry-blossom-tunnel-1	Kuse Cherry Blossom Tunnel	35.076149	133.745519	-13.36	92.27
5aRxlCiga6twizx8J9x2wQ	akagi-nanmen-senbonzakura-miyagi-senbonzakura-no-mori	Akagi Nanmen Senbonzakura, Miyagi Senbonzakura no Mori	36.47084	139.190382	-2.07	57.12
yd8sQ2evy51PRjdNzy5Qcg	hirano-shrine	Hirano Shrine	35.032539	135.733352	1.44	284.86
KUoC0JtawDWFmrldzTAzSg	toji-temple	Toji Temple	34.980197	135.748652	-37.27	-207.61
9QVbbZn9KnftZi1_FIlnew	myoryo-ji-temple	Myoryo-ji Temple	35.605082	138.438122	-13.01	37.34
jTIO92h8j4Ofc6E9igU7eg	tsuyama-castle-kakuzan-park-1	Tsuyama Castle/ Kakuzan Park	35.062155	134.005219	-15.74	12.81
6Q4bcsP2V_SRHVe_fqwOgA	kumamoto-castle-1	Kumamoto Castle	32.80585	130.706294	7.91	295.96
DmchxY1lwds3ivkky582Dg	nagahama-castle-histrical-museum	Nagahama Castle Histrical Museum	35.377704	136.261134	19.07	339.21
bqR3z97DQGSiUMgoSb0qeA	sumida-river-cruise	Sumida River Cruise	35.669651	139.782351	10.12	62.9
UGC6P8yyjBrDpF7j6AnTsQ	the-japan-mint	The Japan Mint	34.69493	135.521625	-6.1	28.47
0i_z4xLGWUoKGmd0MEFkpg	tsuruoka-park	Tsuruoka Park	38.729255	139.824008	-22.89	291.87
WHOv4IV5cc2o2wuIz3Le4A	kasumiga-jo-castle-park	Kasumiga-jo Castle Park	37.600047	140.428508	10.04	48.72
sSidvgI1iQY3-leENuNvyw	shinjo-gaisen-cherry-blossom-1	Shinjo Gaisen Cherry Blossom	35.177845	133.568202	0.37	-38.47
i_Nhb9zXQTz6OdybP87_Cw	taizoin	Taizoin	35.021603	135.719421	-10.25	-90.33
IBrGQ198iED8TwszqRiHzg	taku-the-temple-of-confucius-1	TAKU The Temple of Confucius	33.259483	130.097757	-11.83	0.68
L-IPm62qOKKPuytRDjepJQ	ennoji-temple	Ennoji Temple	33.206255	130.018219	-13.19	-2.2
2Uj04jgPhiqvOrqWChLZGA	yatsushiro-furusato-park	Yatsushiro Furusato Park	35.602766	138.645134	-14.94	251.61
ihl1K0aPqb7FPv2hbczYOA	mikamo-cherry-blossoms-1	Mikamo Cherry Blossoms	35.155972	133.624187	-7.09	111.89
EFyGtv-wFuKymxWz-lMh0Q	hitsuji-yama-park-1	Hitsuji-Yama Park	35.980977	139.088862	10.48	218.15
ADnGUizuM0bbn6Ho8YANSQ	yodogawa-riverside-park	Yodogawa Riverside Park	34.890079	135.687135	-10.59	269.5
lA0O0CwSibQLpXow4zHcTA	usuzumi-park	Usuzumi Park	35.632324	136.609132	-15.28	242.9
PXjpLOXbWF3oPmjvPNwUCg	sakura-park	Sakura Park	37.403893	140.481501	-12.87	302.98
4tDxuxbpB3tuOpRWlZF-Yg	shinpu-castle-ruins	Shinpu Castle Ruins	35.73564	138.425228	-21.09	263.39
rns8VWganV5YBdlY5JjFbw	shiroishigawa-riverside	Shiroishigawa Riverside	38.058627	140.762289	-1.37	97.18
G2Af4J0BbQoU4kmrqMkZbw	cherry-blossoms-along-meguro-river	Cherry Blossoms along Meguro River	35.638923	139.705526	-11.93	277.59
2benOcKOKMxjEyMcrYozhQ	hirosaki-park-1	Hirosaki Park	40.611119	140.463432	-16.86	191.88
vIx6zoQlEhvoQ-TPZfjCjA	oboshi-park	Oboshi Park	35.546128	138.455442	-17.88	351.2
b5zU_DBXiYSHbhh3iPGEzg	morioka-castle-ruins-park-iwate-park	Morioka Castle Ruins Park (Iwate Park)	39.699757	141.150805	-21.15	235.62
vWa4B9CWyI_4pyQTKw1OIA	konkai-komyoji-temple	Konkai Komyoji Temple	35.01799	135.787278	-13.38	-11.01
Bg1QJlzgteXyHob5aRTZ8A	bishamondo	Bishamondo	35.001485	135.818627	-7.82	-48.67
oijuW1RidLFDd8iQLtqUGQ	keage-incline	Keage Incline	35.008821	135.790088	-11.41	170.38
BZKargnDyj0gZ3RmmjrLMQ	oita-castle-ruin-park-1	Oita Castle Ruin Park	33.239701	131.612728	-4.09	-23.33
_2ZhFztH3oakkc4eZMZ3tw	ikegami-honmon-ji	Ikegami Honmon-ji	35.578235	139.705217	-27.0	-156.56
0vatCrdZZAXHx8m_-kW-yw	akagawa-river-green-area	Akagawa River Green Area	38.732408	139.846063	-11.72	215.17
daKR-bRQSq437ThFR67Tgg	kitakami-tenshochi	Kitakami Tenshochi	39.277419	141.127114	-6.69	-166.94
c4NVpsBIjRLNEL_FOy4qZA	daiho-onji-temple	Daiho Onji Temple	35.031562	135.739815	-6.6	-130.71
uNREKcLlf_kAAAGu4ijtvQ	asai-ippon-sakura	Asai Ippon Sakura	33.306859	130.610337	-3.72	30.31
yRpd3kDx1HwtfUTb_qduFg	tamagawa-josui-sidewalk	Tamagawa-josui sidewalk	35.670918	139.662791	-6.0	-51.92
lofJqFmDUpyBDqvGKjn0FQ	midtown-garden-sakura-street	Midtown Garden Sakura Street	35.665933	139.729461	-14.48	27.38
Ox4L5Y_-lC4N_dlNXKjbEw	tatsuminomori-green-road-park	Tatsuminomori Green Road Park	35.646424	139.815512	-3.93	-98.31
x29frm4HcOFXROju18FWig	ina-park	Ina Park	35.839554	137.970462	-8.56	94.3
eNpbuuXNUY4syw0pf8-nOQ	sakuraso-park	Sakuraso Park	35.83783	139.614915	-5.41	-127.93
gGXZ9y0TCGBV9TzJ4eZrRQ	inokashira-onshi-park-1	Inokashira Onshi Park	35.699859	139.578216	-6.47	174.27
yDqE0WkcXtFXkh23Zuq7VA	fukujuji-temple	Fukujuji Temple	37.438835	140.490497	-7.73	-155.94
